xpostag	lemma	lv_form	lemma_ipa	lv_form_ipa	stem_final_cluster	linking_vowel	lv_freq	lemma_freq	nlv_form	nlv_form_ipa	nlv_freq	lv_odds	lv_log_odds	ultimate_c	penultimate_c	cons_1	son_1	cont_1	labial_1	coronal_1	anterior_1	dorsal_1	lateral_1	voice_1	delrel_1	seg_1	long_1	open1_1	open2_1	cons_2	son_2	cont_2	labial_2	coronal_2	anterior_2	dorsal_2	lateral_2	voice_2	delrel_2	seg_2	long_2	open1_2	open2_2	sonority_ultimate_c	sonority_penultimate_c	sonority_slope
[/N][Acc]	láz	lázat	láz	lázat	z	a	13544	192756	lázt	lázt	320	42.325	3.745377928019199	z	NA	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	fedél	fedelet	fedél	fedelet	l	e	13262	99105	fedélt	fedélt	76	174.5	5.161924741642482	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	zabpehely	zabpelyhet	zabpehej	zabpejhet	jh	e	13226	47648	zabpehelyt	zabpehejt	100	132.26	4.8847696822465165	h	j	1	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	4	4	444
[/N][Acc]	gyomor	gyomrot	ḏomor	ḏomrot	mr	o	11377	220348	gyomort	ḏomort	119	95.60504201680672	4.560225559428187	r	m	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	1	0	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	4	3	344
[/N][Acc]	naptár	naptárat	naptár	naptárat	r	a	10879	172164	naptárt	naptárt	9441	1.152314373477386	0.1417724186885662	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	fátyol	fátylat	fáṯol	fáṯlat	ṯl	a	10677	49227	fátyolt	fáṯolt	2150	4.966046511627907	1.6026240530565938	l	ṯ	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	pokol	poklot	pokol	poklot	kl	o	10661	181778	pokolt	pokolt	138	77.2536231884058	4.3470938167932704	l	k	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	réz	rezet	réz	rezet	z	e	10075	100413	rézt	rézt	129	78.10077519379846	4.357999982453212	z	NA	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	gödör	gödröt	gödör	gödröt	dr	ö	9935	87623	gödört	gödört	54	183.9814814814815	5.214835108421643	r	d	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	1	0	1	NA	NA	NA	4	1	144
[/N][Acc]	sál	sálat	šál	šálat	l	a	9558	44824	sált	šált	65	147.04615384615386	4.9907465092424665	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	kókuszolaj	kókuszolajat	kókusolaj	kókusolajat	j	a	9238	45508	kókuszolajt	kókusolajt	62	149	5.003946305945459	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	eszköztár	eszköztárat	esköztár	esköztárat	r	a	8252	104173	eszköztárt	esköztárt	227	36.352422907488986	3.59326085670974	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	vászon	vásznat	váson	vásnat	sn	a	8132	115508	vászont	vásont	173	47.005780346820806	3.8502705802504584	n	s	1	1	0	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	1	0	1	NA	1	1	NA	NA	0	NA	1	NA	NA	NA	3	2	234
[/N][Acc]	kapor	kaprot	kapor	kaprot	pr	o	7776	27520	kaport	kaport	130	59.815384615384616	4.091262895684693	r	p	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	1	NA	NA	NA	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	fogoly	foglyot	fogoj	fogjot	gj	o	7768	112191	fogolyt	fogojt	170	45.694117647058825	3.821969572920899	j	g	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	szár	szárat	sár	sárat	r	a	7700	139898	szárt	sárt	196	39.285714285714285	3.670860948611258	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	életszínvonal	életszínvonalat	életsínvonal	életsínvonalat	l	a	7595	51256	életszínvonalt	életsínvonalt	42	180.83333333333337	5.197575796746505	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	bogár	bogarat	bogár	bogarat	r	a	7591	74759	bogárt	bogárt	109	69.64220183486239	4.243370731787625	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	bronz	bronzot	bronz	bronzot	nz	o	7413	89560	bronzt	bronzt	41	180.8048780487805	5.197418427952412	z	n	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	1	1	0	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	2	3	324
[/N][Acc]	licenc	licencet	licenc	licencet	nc	e	6929	71783	licenct	licenct	43	161.13953488372093	5.082270665933819	c	n	1	0	0	NA	1	1	NA	NA	0	1	1	NA	NA	NA	1	1	0	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	1	3	314
[/N][Acc]	bokor	bokrot	bokor	bokrot	kr	o	6818	141134	bokort	bokort	71	96.02816901408453	4.564641575656533	r	k	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	vödör	vödröt	vödör	vödröt	dr	ö	6360	51546	vödört	vödört	44	144.54545454545453	4.973594022415907	r	d	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	1	0	1	NA	NA	NA	4	1	144
[/N][Acc]	has	hasat	haš	hašat	š	a	6344	281765	hast	hašt	249	25.477911646586342	3.2378118668499765	š	NA	1	0	1	NA	1	0	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	gázolaj	gázolajat	gázolaj	gázolajat	j	a	6333	43216	gázolajt	gázolajt	77	82.24675324675324	4.409723914662746	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	nagy	nagyot	naḏ	naḏot	ḏ	o	6193	20346572	nagyt	naḏt	156	39.69871794871795	3.681318893688524	ḏ	NA	1	0	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	14
[/N][Acc]	tűzhely	tűzhelyet	tűzhej	tűzhejet	j	e	5890	68756	tűzhelyt	tűzhejt	499	11.803607214428858	2.4684051808941136	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	színtér	színteret	síntér	sínteret	r	e	5820	130254	színtért	síntért	70	83.14285714285714	4.420560298676125	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	sugár	sugarat	šugár	šugarat	r	a	5813	155288	sugárt	šugárt	391	14.867007672634273	2.699144507715985	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	menny	mennyet	meṉṉ	meṉṉet	ṉṉ	e	5685	168330	mennyt	meṉṉt	92	61.79347826086956	4.123797829135596	ṉ	ṉ	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	3	3	334
[/N][Acc]	kehely	kelyhet	kehej	kejhet	jh	e	5655	32164	kehelyt	kehejt	82	68.96341463414635	4.233576141285968	h	j	1	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	4	4	444
[/N][Acc]	parázs	parazsat	paráž	paražat	ž	a	5654	39458	parázst	parážt	143	39.53846153846154	3.677273907993628	ž	NA	1	0	1	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	lakóhely	lakóhelyet	lakóhej	lakóhejet	j	e	5544	278498	lakóhelyt	lakóhejt	40	138.6	4.931592086755803	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	légtér	légteret	légtér	légteret	r	e	5422	67905	légtért	légtért	85	63.78823529411765	4.1555687735682945	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	étolaj	étolajat	étolaj	étolajat	j	a	5249	18365	étolajt	étolajt	27	194.40740740740745	5.269955995247971	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	gyógyszertár	gyógyszertárat	ḏóḏsertár	ḏóḏsertárat	r	a	5088	126680	gyógyszertárt	ḏóḏsertárt	296	17.18918918918919	2.8442806506958975	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	szamár	szamarat	samár	samarat	r	a	5001	68251	szamárt	samárt	61	81.98360655737704	4.406519307245593	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	mész	meszet	més	meset	s	e	4632	14549	mészt	mést	44	105.27272727272728	4.65655438533457	s	NA	1	0	1	NA	1	1	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	meder	medret	meder	medret	dr	e	4440	96542	medert	medert	147	30.20408163265306	3.407977068647534	r	d	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	1	0	1	NA	NA	NA	4	1	144
[/N][Acc]	szatyor	szatyrot	saṯor	saṯrot	ṯr	o	4376	33895	szatyort	saṯort	66	66.3030303030303	4.194235602075391	r	ṯ	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	fasírt	fasírtot	fašírt	fašírtot	rt	o	4366	17809	fasírt	fašírt	57	76.59649122807018	4.338551269275339	t	r	1	0	0	NA	1	1	NA	NA	0	0	1	NA	NA	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	4	414
[/N][Acc]	máz	mázat	máz	mázat	z	a	4312	30459	mázt	mázt	708	6.090395480225989	1.8067130188951133	z	NA	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	kőolaj	kőolajat	kőolaj	kőolajat	j	a	3903	39074	kőolajt	kőolajt	38	102.71052631578948	4.631914607454229	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	öböl	öblöt	öböl	öblöt	bl	ö	3898	75672	öbölt	öbölt	216	18.046296296296298	2.892940472383341	l	b	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	0	0	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	szűz	szüzet	sűz	süzet	z	e	3809	197921	szűzt	sűzt	23	165.6086956521739	5.109627750549454	z	NA	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	lakhely	lakhelyet	lakhej	lakhejet	j	e	3767	106272	lakhelyt	lakhejt	32	117.71875	4.768298304892315	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	őz	őzet	őz	őzet	z	e	3756	30509	őzt	őzt	130	28.892307692307693	3.363575389872571	z	NA	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	földrajz	földrajzot	földrajz	földrajzot	jz	o	3727	74867	földrajzt	földrajzt	32	116.46875	4.757622996679532	z	j	1	0	1	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	2	4	424
[/N][Acc]	székhely	székhelyet	sékhej	sékhejet	j	e	3628	695602	székhelyt	sékhejt	221	16.41628959276018	2.7982741097172745	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	szótár	szótárat	sótár	sótárat	r	a	3622	124138	szótárt	sótárt	7932	0.4566313666162381	-0.7838788511963278	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	hangfal	hangfalat	hangfal	hangfalat	l	a	3550	45050	hangfalt	hangfalt	22	161.36363636363637	5.083660429111146	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	bagoly	baglyot	bagoj	bagjot	gj	o	3540	50192	bagolyt	bagojt	229	15.458515283842797	2.7381600025735806	j	g	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	motorolaj	motorolajat	motorolaj	motorolajat	j	a	3434	25772	motorolajt	motorolajt	158	21.73417721518987	3.078886008430454	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	szeder	szedret	seder	sedret	dr	e	3434	25766	szedert	sedert	104	33.01923076923077	3.4970901423160483	r	d	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	1	0	1	NA	NA	NA	4	1	144
[/N][Acc]	kérdőjel	kérdőjelet	kérdőjel	kérdőjelet	l	e	3385	33853	kérdőjelt	kérdőjelt	40	84.625	4.438229731232439	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	határzár	határzárat	határzár	határzárat	r	a	3265	17140	határzárt	határzárt	99	32.97979797979798	3.4958951915759413	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	sorfal	sorfalat	šorfal	šorfalat	l	a	3177	11451	sorfalt	šorfalt	17	186.8823529411765	5.2304792902133	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	kegy	kegyet	keḏ	keḏet	ḏ	e	3166	52256	kegyt	keḏt	33	95.93939393939394	4.563716678974477	ḏ	NA	1	0	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	14
[/N][Acc]	dél	delet	dél	delet	l	e	3108	378128	délt	délt	552	5.630434782608695	1.7281866652104427	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	közhely	közhelyet	közhej	közhejet	j	e	3044	63001	közhelyt	közhejt	237	12.843881856540085	2.552867577846446	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	szenny	szennyet	seṉṉ	seṉṉet	ṉṉ	e	2981	17585	szennyt	seṉṉt	106	28.12264150943396	3.3365749995660043	ṉ	ṉ	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	3	3	334
[/N][Acc]	fénysugár	fénysugarat	féṉšugár	féṉšugarat	r	a	2962	27464	fénysugárt	féṉšugárt	160	18.5125	2.918446179593917	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	raktár	raktárat	raktár	raktárat	r	a	2930	296928	raktárt	raktárt	4566	0.6416995181778362	-0.4436351250786278	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	pénztár	pénztárat	pénztár	pénztárat	r	a	2912	249815	pénztárt	pénztárt	1951	1.4925679138903127	0.40049806869346544	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	pehely	pelyhet	pehej	pejhet	jh	e	2876	23854	pehelyt	pehejt	43	66.88372093023256	4.202955603147375	h	j	1	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	4	4	444
[/N][Acc]	nyírfacukor	nyírfacukrot	ṉírfacukor	ṉírfacukrot	kr	o	2846	16848	nyírfacukort	ṉírfacukort	42	67.76190476190476	4.21600016036643	r	k	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	nyál	nyálat	ṉál	ṉálat	l	a	2838	48793	nyált	ṉált	47	60.38297872340426	4.10070725600993	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
